0,3.396,1.988
0.1,3.137,1.375
0.2,5.924,3.091
0.3,5.904,4.017
0.4,6.26,3.619
0.5,6.149,3.093
0.6,6.409,3.186
0.7,7.04,3.715
0.8,6.79,3.045
0.9,6.79,3.584
1,5.8,2.747
1.1,5.81,3.313
1.2,6.231,3.315
1.3,6.204,3.835
1.4,6.107,4.112
1.5,5.91,3.275
1.6,5.677,3.244
1.7,5.285,2.83
1.8,6.214,3.34
1.9,6.055,3.101
2,6.41,3.585
2.1,6.59,3.339
2.2,7.03,3.714
2.3,7.26,3.71
2.4,7.14,3.645
2.5,7.2,3.734
2.6,5.277,3.144
2.7,5.38,3.664
2.8,7.2,4.147
2.9,7.2,3.751
3,7,4.817
3.1,7.08,4.671
3.2,7.37,4.972
3.3,7.22,5.512
3.4,7.23,4.945
3.5,7.11,4.136
3.6,7.33,3.913
3.7,7.43,5.632
3.8,7.46,5.584
3.9,7.48,5.649
4,7.5,5.78
4.1,7.49,4.841
4.2,7.57,5.52
4.3,7.58,4.966
4.4,7.62,5.057
4.5,7.37,5.454
4.6,7.41,4.792
4.7,7.5,4.898
4.8,7.54,5.476
4.9,7.57,5.159
5,7.3,4.463
5.1,7.49,4.589
5.2,7.39,5.126
5.3,7.48,4.68
5.4,7.43,4.926
5.5,7.32,4.732
5.6,7.54,5.066
5.7,7.4,5.262
5.8,7.4,4.984
5.9,7.58,5.767
6,7.55,5.317
6.1,7.64,5.166
6.2,7.62,5.143
6.3,7.63,4.256
6.4,7.62,5.021
6.5,7.74,4.601
